Date,Location,Rainfall_mm,WaterLevel_m,SoilMoisture_pct,Elevation_m,FloodOccurrence,synthetic
2016-02-01 00:00:00,Quezon City,48.2,6.3,39.7,43.0,1,False
2016-09-07,Manila,48.427157193540616,6.244472686023406,39.493034556996335,43.0,1,True
2017-07-14,Marikina,47.95397380239447,6.203346850940683,39.40125390290757,43.0,1,True
2019-03-18,Pasig,47.851768482798576,6.163194761099438,39.27714744339827,43.0,1,True
2018-10-25,Pasig,49.94341939244832,5.873830815179301,38.11155122021376,43.0,1,True
2016-03-03,Quezon City,50.04966655993204,5.847859285349945,38.01474824539525,43.0,1,True
2019-12-08,Pasig,50.30790171451253,5.784735136452492,37.77946732677747,43.0,1,True
2016-12-24,Manila,50.36376640140083,5.771079324102019,37.7285683898348,43.0,1,True
2016-01-20,Marikina,50.75465147518997,5.675529639398009,37.37242865593804,43.0,1,True
2016-01-06,Pasig,47.37467970565955,5.841488725366415,38.54455158792337,43.0,1,True
2016-04-23,Manila,51.53345877989392,5.485154520470375,36.66284866720776,43.0,1,True
2018-01-19 00:00:00,Quezon City,52.7,5.2,35.6,43.0,1,False
2018-02-27,Manila,52.59586711297997,5.204843390093955,35.574572202006735,43.0,1,True
2017-01-29,Marikina,45.77979073568929,5.886793540239634,36.040171356408194,43.0,1,True
2018-05-31,Marikina,46.37256131352476,5.582077658884727,37.48096730928006,43.0,1,True
2018-05-14,Marikina,52.07127564173845,5.171931948291896,35.375455586335164,43.0,1,True
2016-12-03,Pasig,45.57129470517028,5.851196656980291,35.72488467611116,43.0,1,True
2018-07-04,Marikina,50.94760845150188,5.281506583651075,35.172090435831855,43.0,1,True
2018-11-26,Pasig,50.41359429418773,5.2,35.81924438274912,43.0,1,True
2016-12-14,Marikina,51.532433980219736,5.147876516974096,35.183012135792765,43.0,1,True
2018-01-17,Manila,46.55840801384962,5.388004452138676,37.40177121938947,43.0,1,True
2018-12-06,Marikina,50.09993405557716,5.320933299740598,34.965100176361865,43.0,1,True
2016-05-21,Marikina,51.35415594457681,5.139917676097179,35.11934140877743,43.0,1,True
2019-10-08,Manila,49.57928175239566,5.2,35.89924695524973,43.0,1,True
2016-11-20,Pasig,48.9888579690266,5.372611257254577,34.69379089941347,43.0,1,True
2018-08-23,Pasig,46.21592762906766,5.501584761438713,34.016680002446755,43.0,1,True
2017-12-08,Quezon City,45.41265462602808,5.204971460225318,36.31536633160552,43.0,1,True
2017-04-26 00:00:00,Quezon City,45.4,5.2,36.3,43.0,1,False
2017-02-16,Pasig,45.28873552970245,5.2342352216300165,36.060353448589886,43.0,1,True
2019-04-13,Manila,45.264897645332944,5.241569955282171,36.0090103130248,43.0,1,True
2017-09-30,Manila,45.11962230188297,5.286270060959087,35.69610957328639,43.0,1,True
2018-05-06,Manila,44.5711807561887,5.455021305788092,34.51485085948335,43.0,1,True
2016-04-24,Manila,44.48677069081676,5.480993633594844,34.333044564836094,43.0,1,True
2016-06-03,Pasig,44.3454345702432,5.524481670694401,34.02862830513919,43.0,1,True
2019-05-01,Quezon City,44.12444971208665,5.592477011665646,33.55266091834048,43.0,1,True
2018-10-08 00:00:00,Quezon City,44.1,5.6,33.5,43.0,1,False
2019-02-26,Marikina,44.89455746033777,5.135199674402279,35.69087693938142,43.0,1,True
2018-12-02,Marikina,44.01049046586195,5.536348775724054,33.53580381365522,43.0,1,True
2018-11-11,Quezon City,45.11633765711212,4.966395717621746,35.816105415073615,43.0,1,True
2018-07-13,Pasig,44.61213889323029,5.098992165798755,35.3505263585083,43.0,1,True
2017-11-19,Pasig,44.84485557798306,4.931999244543547,36.20428544447984,43.0,1,True
2016-01-12,Marikina,47.65440837794112,4.974750374015229,33.79800299212183,43.0,1,True
2016-10-15,Marikina,44.80966165880166,4.915009076662869,36.19821752737959,43.0,1,True
2016-04-01,Manila,44.47472855876248,5.0813754562516005,35.18492928876504,43.0,1,True
2019-05-02,Quezon City,43.71984079643214,5.4684064295342,33.22219135123887,43.0,1,True
2019-03-05,Marikina,44.02559079999774,5.265158599989801,33.481397699999434,43.0,1,True
2018-09-18,Marikina,43.63098838736244,5.266480631013288,33.687604645055025,43.0,1,True
2017-05-31 00:00:00,Marikina,43.9,6.1,27.4,15.0,1,False
2018-08-15,Manila,43.191998223652746,5.285691692802873,32.83646024036162,43.0,1,True
2016-08-23,Manila,45.91084409415014,4.89691268277456,33.17530146219648,43.0,1,True
